sample_id,image_type_expected,image_type,status,visual_judgement,risk_summary,evidence_complete,quality_1080p_pass,final_delivery_status,final_delivery_reason,final_selection_reason,highlight_fallback_active,phase6_smooth_region_fallback,phase6_smooth_region_fallback_reason,phase6_size_fallback_triggered,phase6_size_fallback_reason,file_size_ratio,frozen_to_final_size_ratio,phase6_visible_benefit_score,mean_delta_e,p95_delta_e,saturation_delta,edge_delta_proxy,texture_delta_proxy,alpha_status,processing_time_ms,original_path,frozen_path,round2_3_final_path,regression_final_path,full_compare_path,same_scale_compare_path,crop_100_path,crop_200_path,metrics_json_path
smoke_text_poster_cn_small_legacy,text_poster,text_poster,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,False,PASS_WITH_LIMITATION,quality_1080p_gate_not_fully_passed,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,57.898434,1.0,3.379053,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,4707.281,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\smoke_text_poster_cn_small_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\smoke_text_poster_cn_small_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\smoke_text_poster_cn_small_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\smoke_text_poster_cn_small_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\smoke_text_poster_cn_small_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\smoke_text_poster_cn_small_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\smoke_text_poster_cn_small_legacy,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\smoke_text_poster_cn_small_legacy,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\smoke_text_poster_cn_small_legacy.json
smoke_product_png_legacy,product_kv,product_kv,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,False,PASS_WITH_LIMITATION,quality_1080p_gate_not_fully_passed,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,60.583142,1.0,3.262285,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,6709.547,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\smoke_product_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\smoke_product_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\smoke_product_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\smoke_product_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\smoke_product_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\smoke_product_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\smoke_product_png_legacy,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\smoke_product_png_legacy,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\smoke_product_png_legacy.json
smoke_transparent_png_legacy,unknown,product_kv,completed,POSITIVE,Visible benefit score supports stronger improvement.,PASS,True,PASS,delivery_guard_pass,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,17.902131,1.0,3.056531,0.0,0.0,0.0,0.0,0.0,PASS_ALPHA_PRESENT,6928.803,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\smoke_transparent_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\smoke_transparent_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\smoke_transparent_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\smoke_transparent_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\smoke_transparent_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\smoke_transparent_png_legacy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\smoke_transparent_png_legacy,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\smoke_transparent_png_legacy,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\smoke_transparent_png_legacy.json
smoke_portrait_ready,portrait,unknown,completed,MINOR_POSITIVE,Small measurable benefit; needs visual confirmation.,PASS,True,PASS,delivery_guard_pass,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,1.361948,1.0,0.798341,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,4568.669,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\smoke_portrait_ready.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\smoke_portrait_ready.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\smoke_portrait_ready.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\smoke_portrait_ready.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\smoke_portrait_ready.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\smoke_portrait_ready.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\smoke_portrait_ready,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\smoke_portrait_ready,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\smoke_portrait_ready.json
smoke_architecture_low,architecture,unknown,completed,NEUTRAL,No clear visible benefit; protection-first result.,PASS,True,PASS,delivery_guard_pass,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,3.519949,1.0,0.367798,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,5547.417,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\smoke_architecture_low.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\smoke_architecture_low.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\smoke_architecture_low.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\smoke_architecture_low.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\smoke_architecture_low.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\smoke_architecture_low.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\smoke_architecture_low,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\smoke_architecture_low,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\smoke_architecture_low.json
smoke_landscape_ultrawide,landscape,unknown,completed,NEUTRAL,Protected sample remained conservative.,PASS,True,PASS,delivery_guard_pass,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,3.624008,1.0,0.365646,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,4880.678,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\smoke_landscape_ultrawide.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\smoke_landscape_ultrawide.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\smoke_landscape_ultrawide.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\smoke_landscape_ultrawide.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\smoke_landscape_ultrawide.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\smoke_landscape_ultrawide.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\smoke_landscape_ultrawide,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\smoke_landscape_ultrawide,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\smoke_landscape_ultrawide.json
smoke_original_unprocessed_jpg,unknown,product_kv,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,False,PASS_WITH_LIMITATION,quality_1080p_gate_not_fully_passed,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,25.016412,1.0,2.247222,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,5790.846,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\smoke_original_unprocessed_jpg.jpg,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\smoke_original_unprocessed_jpg.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\smoke_original_unprocessed_jpg.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\smoke_original_unprocessed_jpg.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\smoke_original_unprocessed_jpg.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\smoke_original_unprocessed_jpg.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\smoke_original_unprocessed_jpg,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\smoke_original_unprocessed_jpg,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\smoke_original_unprocessed_jpg.json
core_text_case_original_png,text_poster,text_poster,completed,NEUTRAL,Protected sample remained conservative.,PASS,True,PASS,delivery_guard_pass,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,14.482376,1.0,1.02842,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,3854.439,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\core_text_case_original_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\core_text_case_original_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\core_text_case_original_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\core_text_case_original_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\core_text_case_original_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\core_text_case_original_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\core_text_case_original_png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\core_text_case_original_png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\core_text_case_original_png.json
core_text_synthetic_microcopy,text_poster,unknown,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,False,PASS_WITH_LIMITATION,quality_1080p_gate_not_fully_passed,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,12.437971,1.0,0.58665,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,5073.556,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\core_text_synthetic_microcopy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\core_text_synthetic_microcopy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\core_text_synthetic_microcopy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\core_text_synthetic_microcopy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\core_text_synthetic_microcopy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\core_text_synthetic_microcopy.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\core_text_synthetic_microcopy,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\core_text_synthetic_microcopy,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\core_text_synthetic_microcopy.json
core_product_low_png,product_kv,product_kv,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,False,PASS_WITH_LIMITATION,quality_1080p_gate_not_fully_passed,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,53.300054,1.0,3.951699,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,6486.963,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\core_product_low_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\core_product_low_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\core_product_low_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\core_product_low_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\core_product_low_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\core_product_low_png.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\core_product_low_png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\core_product_low_png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\core_product_low_png.json
core_architecture_wide_scene,architecture,text_poster,completed,MINOR_POSITIVE,Small measurable benefit; needs visual confirmation.,PASS,True,PASS,delivery_guard_pass,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,4.343081,1.0,1.582031,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,5122.701,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\core_architecture_wide_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\core_architecture_wide_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\core_architecture_wide_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\core_architecture_wide_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\core_architecture_wide_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\core_architecture_wide_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\core_architecture_wide_scene,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\core_architecture_wide_scene,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\core_architecture_wide_scene.json
core_landscape_sixteen_scene,landscape,text_poster,completed,MINOR_POSITIVE,Small measurable benefit; needs visual confirmation.,PASS,True,PASS,delivery_guard_pass,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,5.449293,1.0,1.744501,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,5947.703,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\core_landscape_sixteen_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\core_landscape_sixteen_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\core_landscape_sixteen_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\core_landscape_sixteen_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\core_landscape_sixteen_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\core_landscape_sixteen_scene.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\core_landscape_sixteen_scene,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\core_landscape_sixteen_scene,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\core_landscape_sixteen_scene.json
core_unknown_origin_photo,unknown,text_poster,completed,MINOR_POSITIVE,Small measurable benefit; needs visual confirmation.,PASS,True,PASS,delivery_guard_pass,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,6.594818,1.0,1.822477,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,5106.081,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\core_unknown_origin_photo.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\core_unknown_origin_photo.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\core_unknown_origin_photo.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\core_unknown_origin_photo.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\core_unknown_origin_photo.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\core_unknown_origin_photo.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\core_unknown_origin_photo,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\core_unknown_origin_photo,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\core_unknown_origin_photo.json
core_unknown_opaque_rgba,unknown,product_kv,completed,POSITIVE,Visible benefit score supports stronger improvement.,PASS,True,PASS,delivery_guard_pass,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,16.710249,1.0,3.056289,0.0,0.0,0.0,0.0,0.0,PASS_OPAQUE_ALPHA_DROPPED_TO_RGB,7530.521,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\core_unknown_opaque_rgba.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\core_unknown_opaque_rgba.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\core_unknown_opaque_rgba.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\core_unknown_opaque_rgba.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\core_unknown_opaque_rgba.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\core_unknown_opaque_rgba.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\core_unknown_opaque_rgba,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\core_unknown_opaque_rgba,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\core_unknown_opaque_rgba.json
synthetic_alpha_edges,unknown,text_poster,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,True,PASS_WITH_LIMITATION,smooth_region_guard,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,True,smooth_region_guard,False,,38.085034,1.0,1.109685,0.0,0.0,0.0,0.0,0.0,PASS_ALPHA_PRESENT,4876.123,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\synthetic_alpha_edges.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\synthetic_alpha_edges.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\synthetic_alpha_edges.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\synthetic_alpha_edges.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\synthetic_alpha_edges.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\synthetic_alpha_edges.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\synthetic_alpha_edges,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\synthetic_alpha_edges,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\synthetic_alpha_edges.json
synthetic_gradient_band,unknown,product_kv,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,False,PASS_WITH_LIMITATION,quality_1080p_gate_not_fully_passed,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,274.06971,1.0,8.396162,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,6069.627,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\synthetic_gradient_band.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\synthetic_gradient_band.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\synthetic_gradient_band.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\synthetic_gradient_band.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\synthetic_gradient_band.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\synthetic_gradient_band.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\synthetic_gradient_band,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\synthetic_gradient_band,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\synthetic_gradient_band.json
synthetic_fine_line_table,text_poster,architecture,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,False,PASS_WITH_LIMITATION,quality_1080p_gate_not_fully_passed,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,False,,9.327887,1.0,0.353835,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,5127.528,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\synthetic_fine_line_table.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\synthetic_fine_line_table.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\synthetic_fine_line_table.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\synthetic_fine_line_table.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\synthetic_fine_line_table.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\synthetic_fine_line_table.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\synthetic_fine_line_table,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\synthetic_fine_line_table,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\synthetic_fine_line_table.json
synthetic_highlight_clip,product_kv,text_poster,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,True,PASS_WITH_LIMITATION,very_large_size_limited_benefit,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,True,very_large_size_limited_benefit,18.809853,1.0,0.564397,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,9979.732,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\synthetic_highlight_clip.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\synthetic_highlight_clip.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\synthetic_highlight_clip.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\synthetic_highlight_clip.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\synthetic_highlight_clip.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\synthetic_highlight_clip.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\synthetic_highlight_clip,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\synthetic_highlight_clip,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\synthetic_highlight_clip.json
synthetic_brand_color_bars,unknown,product_kv,completed,NEUTRAL,Backend marked manual review; treat as protection or limited benefit.,PASS,True,PASS_WITH_LIMITATION,very_large_size_limited_benefit,optimized_output 体积更小但细节稳定性、文字边缘或纹理风险未通过，回退 main_output 作为 final。,NO,False,,True,very_large_size_limited_benefit,14.513893,1.0,0.837861,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,14963.763,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\01_original\synthetic_brand_color_bars.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\02_frozen\synthetic_brand_color_bars.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\03_round2_3_final\synthetic_brand_color_bars.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\04_19_regression_final\synthetic_brand_color_bars.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\05_full_compare\synthetic_brand_color_bars.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\06_same_scale_compare\synthetic_brand_color_bars.png,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\07_crops_100pct\synthetic_brand_color_bars,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\08_crops_200pct_preview\synthetic_brand_color_bars,D:\Codex\04_Visual-Master-Pro\tests\results\v046_19_golden_regression\09_metrics\synthetic_brand_color_bars.json
